Dropout,activation,epochs,kernel_size,kernel_size_1,kernel_size_2,loss,optimizer,pool_size,pool_size_1,pool_size_2,accuray
0.03268490152025372,sigmoid,120,5,4,4,mean_squared_error,rmsprop,1,2,1,0.9000000049670537
0.07858134246265869,softmax,93,4,6,5,categorical_crossentropy,adam,2,1,1,0.8666666746139526
0.024321772147203935,sigmoid,65,7,3,6,mean_squared_error,adam,3,1,2,0.83333334227403
0.4987765704119526,softmax,124,7,6,5,mean_squared_error,sgd,2,2,2,0.7800000131130218
0.26868590635700423,softmax,124,6,5,6,mean_squared_error,rmsprop,4,1,2,0.8800000071525573
0.09520454408690054,softmax,121,4,3,6,categorical_crossentropy,rmsprop,3,2,1,0.7733333458503088
0.09229293007033018,softmax,135,3,6,5,categorical_crossentropy,adam,1,2,2,0.9000000059604645
0.10549830270553806,sigmoid,140,4,3,5,categorical_crossentropy,sgd,4,2,1,0.8600000073512395
0.42070445005178925,softmax,51,3,4,6,categorical_crossentropy,rmsprop,4,2,1,0.8866666734218598
0.44443581989148895,sigmoid,144,6,5,3,categorical_crossentropy,sgd,4,1,2,0.8000000109275182
0.2646624620562195,softmax,100,6,4,3,categorical_crossentropy,rmsprop,4,2,2,0.8933333396911621
0.10886366508465367,sigmoid,72,4,6,6,mean_squared_error,rmsprop,1,1,2,0.8933333396911621
0.2685614728598054,softmax,119,4,7,6,mean_squared_error,rmsprop,4,2,2,0.886666672428449
0.27031227491534604,sigmoid,75,7,3,6,mean_squared_error,sgd,1,2,1,0.8000000109275182
0.0008195288388123667,softmax,85,5,5,4,mean_squared_error,sgd,1,2,2,0.7600000118215878
0.461543452766301,sigmoid,119,6,6,7,categorical_crossentropy,sgd,1,2,2,0.9000000059604645
0.4537543305117423,softmax,70,4,6,3,categorical_crossentropy,sgd,2,2,2,0.8800000061591466
0.04894842628294771,softmax,118,6,3,4,mean_squared_error,adam,4,1,2,0.813333343466123
0.24083776969398046,softmax,89,6,4,5,mean_squared_error,rmsprop,1,2,1,0.3066666732231776
0.4791833160038563,softmax,116,3,4,4,mean_squared_error,adam,1,1,2,0.5466666802763939
0.17978512844857542,sigmoid,67,3,6,7,categorical_crossentropy,adam,1,2,2,0.5666666810711225
0.3614677572330735,sigmoid,56,3,7,7,categorical_crossentropy,adam,1,2,2,0.5866666783889135
0.3650181884624897,sigmoid,64,3,6,7,categorical_crossentropy,adam,1,2,2,0.9133333384990692
0.3829929632555735,sigmoid,53,6,6,7,categorical_crossentropy,sgd,3,2,2,0.8266666760047277
0.33367964839662884,sigmoid,145,5,6,7,categorical_crossentropy,sgd,1,2,2,0.873333340883255
0.3216357501826756,sigmoid,110,3,6,7,categorical_crossentropy,adam,1,2,2,0.886666672428449
0.39127839699841843,sigmoid,148,3,7,7,categorical_crossentropy,adam,2,2,2,0.9133333384990692
0.39695030318416447,sigmoid,50,3,7,7,categorical_crossentropy,adam,2,2,2,0.8600000083446503
0.32735070192655935,sigmoid,64,3,7,7,categorical_crossentropy,adam,2,2,2,0.9066666722297668
0.18512536579903557,sigmoid,54,3,7,7,categorical_crossentropy,adam,2,2,2,0.9000000059604645
0.2167853957723117,sigmoid,114,5,7,7,categorical_crossentropy,adam,2,2,1,0.8866666734218598
0.30356310029753847,sigmoid,148,3,7,7,categorical_crossentropy,adam,2,1,2,0.9000000059604645
0.3680085768144636,sigmoid,58,7,5,7,categorical_crossentropy,adam,3,2,1,0.9200000047683716
0.49918442620438386,sigmoid,58,7,5,3,categorical_crossentropy,adam,3,1,1,0.873333340883255
0.42003066140767276,sigmoid,83,7,5,4,categorical_crossentropy,adam,3,2,1,0.8533333410819371
0.36168296833071434,sigmoid,94,7,5,7,categorical_crossentropy,adam,3,2,1,0.8666666736205418
0.30265204946895613,sigmoid,73,7,5,5,categorical_crossentropy,adam,3,2,1,0.9066666722297668
0.41102748533366246,sigmoid,62,7,5,7,categorical_crossentropy,adam,3,1,1,0.83333334227403
0.15314843462588262,sigmoid,102,7,5,5,categorical_crossentropy,adam,3,2,1,0.9000000059604645
0.43578911064857767,sigmoid,58,5,7,3,categorical_crossentropy,adam,2,2,1,0.786666676402092
0.23633280328856596,sigmoid,84,7,3,7,categorical_crossentropy,rmsprop,2,1,1,0.5800000141064326
0.4719531377105753,sigmoid,123,7,4,4,categorical_crossentropy,adam,3,2,1,0.873333340883255
0.3489189940434678,sigmoid,101,4,6,6,mean_squared_error,rmsprop,3,2,1,0.9000000049670537
0.2879732142217399,sigmoid,122,5,7,5,categorical_crossentropy,adam,2,2,1,0.9000000059604645
0.40600057792253375,sigmoid,61,7,5,3,mean_squared_error,adam,2,1,1,0.8666666746139526
0.3745611201673095,softmax,86,4,6,7,categorical_crossentropy,rmsprop,4,2,1,0.826666675011317
0.21379091316772675,sigmoid,59,3,3,6,categorical_crossentropy,sgd,1,2,1,0.83333334227403
0.4835273942103638,softmax,79,7,5,7,mean_squared_error,adam,3,2,2,0.8866666734218598
0.43485986564352247,sigmoid,108,4,4,4,categorical_crossentropy,rmsprop,4,1,1,0.180000002682209
0.13703233927826727,softmax,125,6,7,3,mean_squared_error,adam,2,2,2,0.8800000071525573
