Dropout,epochs,kernel_size,kernel_size_1,kernel_size_2,loss,optimizer,pool_size,pool_size_1,pool_size_2,accuray
0.019912544881439953,145,5,4,4,mean_squared_error,rmsprop,1,2,1,0.6428571545651981
0.03382854967252419,118,4,6,5,categorical_crossentropy,adam,2,1,1,0.9357142895460129
0.3521654570424688,90,7,3,6,mean_squared_error,adam,3,1,2,0.9428571462631226
0.08012506737393565,149,7,6,5,mean_squared_error,sgd,2,2,2,0.8714285790920258
0.4182140362909876,149,6,5,6,mean_squared_error,rmsprop,4,1,2,0.9285714328289032
0.2133592523277144,146,4,3,6,categorical_crossentropy,rmsprop,3,2,1,0.9428571462631226
0.20195451148180676,118,3,6,5,categorical_crossentropy,adam,1,2,2,0.9428571462631226
0.10549830270553806,138,4,3,5,categorical_crossentropy,sgd,4,2,1,0.9214285761117935
0.3237079338781867,76,3,4,6,categorical_crossentropy,rmsprop,4,2,1,0.9642857164144516
0.44443581989148895,144,6,5,3,categorical_crossentropy,sgd,4,1,2,0.9000000059604645
0.12987198132770106,125,6,4,3,categorical_crossentropy,rmsprop,4,2,2,0.9500000029802322
0.1233672284250234,97,4,6,6,mean_squared_error,rmsprop,1,1,2,0.5571428691702229
0.40854267231048247,144,4,7,6,mean_squared_error,rmsprop,4,2,2,0.9214285761117935
0.41164894603425467,100,7,3,6,mean_squared_error,sgd,1,2,1,0.8785714358091354
0.33467489854111915,110,5,5,4,mean_squared_error,sgd,1,2,2,0.8428571500948497
0.03378807352143115,144,6,6,7,categorical_crossentropy,sgd,1,2,2,0.9500000029802322
0.2910148460697705,95,4,6,3,categorical_crossentropy,sgd,2,2,2,0.9142857183303151
0.22414604610911326,143,6,3,4,mean_squared_error,adam,4,1,2,0.9142857193946838
0.39196017191438204,114,6,4,5,mean_squared_error,rmsprop,1,2,1,0.6214285822851318
0.30912589266287765,141,3,4,4,mean_squared_error,adam,1,1,2,0.585714298167399
0.14787809851696915,125,3,4,3,categorical_crossentropy,rmsprop,4,2,1,0.8714285790920258
0.4989435654410913,84,3,4,3,categorical_crossentropy,rmsprop,4,2,1,0.8857142925262451
0.16932194652534924,76,3,7,7,categorical_crossentropy,rmsprop,4,2,1,0.8714285790920258
0.260358881790768,76,6,4,3,categorical_crossentropy,rmsprop,4,2,1,0.8714285790920258
0.26368506159258776,125,5,4,3,categorical_crossentropy,rmsprop,3,2,1,0.9071428626775742
